timestamp,phase,airspeed_kts,altitude_ft,pitch_deg,roll_deg,yaw_deg,engine_rpm_pct,egt_c,fuel_flow_kgph,oil_pressure_psi,oil_temp_c,vibration_g,ambient_temp_c,anomaly_type
2026-02-01 09:00:00,taxi_out,30.0,120.0,0.06,0.08,-0.0,55.22,381.1,452.03,55.32,65.07,0.796,14.93,none
2026-02-01 09:00:01,taxi_out,30.0,120.0,0.04,0.06,-0.08,55.13,381.65,452.12,55.28,65.07,0.795,14.91,none
2026-02-01 09:00:02,taxi_out,30.0,120.0,0.03,0.06,-0.1,55.24,382.39,452.73,55.33,65.1,0.794,14.9,none
2026-02-01 09:00:03,taxi_out,30.0,120.0,0.05,0.02,-0.12,55.19,382.37,453.27,55.35,65.11,0.792,14.89,none
2026-02-01 09:00:04,taxi_out,30.0,120.0,0.05,0.01,-0.12,55.19,382.49,453.06,55.37,65.12,0.79,14.92,none
2026-02-01 09:00:05,taxi_out,30.0,120.0,0.06,-0.03,-0.13,55.19,382.03,452.67,55.43,65.1,0.79,14.96,none
2026-02-01 09:00:06,taxi_out,30.0,120.0,0.05,-0.01,-0.09,55.21,382.53,452.82,55.39,65.11,0.79,14.96,none
2026-02-01 09:00:07,taxi_out,30.0,120.0,0.04,0.01,-0.05,55.25,382.19,454.13,55.39,65.14,0.792,14.91,none
2026-02-01 09:00:08,taxi_out,30.0,120.0,0.03,-0.03,-0.06,55.3,382.29,453.21,55.36,65.12,0.789,14.93,none
2026-02-01 09:00:09,taxi_out,30.0,120.0,0.04,-0.0,-0.02,55.28,381.96,452.11,55.3,65.16,0.784,14.91,none
2026-02-01 09:00:10,taxi_out,30.0,120.0,0.03,0.06,-0.01,55.28,381.8,452.31,55.32,65.16,0.782,14.92,none
2026-02-01 09:00:11,taxi_out,30.0,120.0,0.03,0.06,-0.01,55.3,381.56,452.42,55.42,65.15,0.782,14.89,none
2026-02-01 09:00:12,taxi_out,30.0,120.0,0.01,0.04,0.02,55.3,381.4,452.63,55.34,65.18,0.784,14.86,none
2026-02-01 09:00:13,taxi_out,30.0,120.0,0.03,0.08,0.09,55.36,381.27,454.95,55.28,65.14,0.784,14.87,none
2026-02-01 09:00:14,taxi_out,30.0,120.0,0.03,0.02,0.16,55.28,380.58,454.99,55.23,65.17,0.789,14.87,none
2026-02-01 09:00:15,taxi_out,30.0,120.0,0.03,0.03,0.05,55.36,380.47,454.32,55.24,65.13,0.786,14.8,none
2026-02-01 09:00:16,taxi_out,30.0,120.0,0.04,0.03,0.08,55.35,380.17,452.49,55.29,65.14,0.794,14.81,none
2026-02-01 09:00:17,taxi_out,30.0,120.0,0.05,0.07,0.14,55.41,379.96,451.91,55.15,65.2,0.804,14.82,none
2026-02-01 09:00:18,taxi_out,30.0,120.0,0.05,0.05,0.2,55.42,380.5,452.11,55.1,65.19,0.803,14.82,none
2026-02-01 09:00:19,taxi_out,30.0,120.0,0.03,0.06,0.21,55.29,380.91,450.85,55.04,65.16,0.808,14.81,none
2026-02-01 09:00:20,taxi_out,30.0,120.0,-0.01,0.05,0.18,55.29,381.0,450.34,54.98,65.12,0.803,14.81,none
2026-02-01 09:00:21,taxi_out,30.0,120.0,-0.03,0.02,0.15,55.24,380.46,452.68,55.03,65.14,0.808,14.84,none
2026-02-01 09:00:22,taxi_out,30.0,120.0,-0.03,-0.0,0.15,55.17,380.95,451.88,55.08,65.18,0.802,14.88,none
2026-02-01 09:00:23,taxi_out,30.0,120.0,-0.04,-0.04,0.13,55.22,381.12,451.56,55.07,65.17,0.809,14.91,none
2026-02-01 09:00:24,taxi_out,30.0,120.0,-0.05,-0.03,0.01,55.33,381.07,450.05,55.02,65.09,0.798,14.91,none
2026-02-01 09:00:25,taxi_out,30.0,120.0,-0.09,-0.07,0.02,55.39,380.65,449.28,55.03,65.05,0.8,14.91,none
2026-02-01 09:00:26,taxi_out,30.0,120.0,-0.09,-0.01,0.04,55.5,379.8,449.03,55.08,65.01,0.801,14.94,none
2026-02-01 09:00:27,taxi_out,30.0,120.0,-0.07,-0.03,0.05,55.49,379.34,448.31,55.06,64.99,0.806,14.94,none
2026-02-01 09:00:28,taxi_out,30.0,120.0,-0.08,-0.02,0.03,55.57,379.55,448.93,55.03,64.97,0.809,14.94,none
